n, threads, time
10000 , 1 , 0.0307137
20000 , 1 , 0.121236
30000 , 1 , 0.271139
40000 , 1 , 0.48088
50000 , 1 , 0.749248
60000 , 1 , 1.07464
70000 , 1 , 1.44315
80000 , 1 , 1.91179
90000 , 1 , 2.42004
100000 , 1 , 2.99446
10000 , 2 , 0.0157557
20000 , 2 , 0.0617834
30000 , 2 , 0.138515
40000 , 2 , 0.24921
50000 , 2 , 0.380808
60000 , 2 , 0.544255
70000 , 2 , 0.744112
80000 , 2 , 0.965532
90000 , 2 , 1.22237
100000 , 2 , 1.51379
10000 , 3 , 0.011227
20000 , 3 , 0.0429595
30000 , 3 , 0.0945094
40000 , 3 , 0.166434
50000 , 3 , 0.257505
60000 , 3 , 0.370322
70000 , 3 , 0.529758
80000 , 3 , 0.665187
90000 , 3 , 0.822104
100000 , 3 , 1.01503
10000 , 4 , 0.0084934
20000 , 4 , 0.0326977
30000 , 4 , 0.0715264
40000 , 4 , 0.128457
50000 , 4 , 0.19582
60000 , 4 , 0.280173
70000 , 4 , 0.379602
80000 , 4 , 0.508965
90000 , 4 , 0.624838
100000 , 4 , 0.769799
10000 , 5 , 0.0072033
20000 , 5 , 0.0272907
30000 , 5 , 0.0596244
40000 , 5 , 0.103184
50000 , 5 , 0.158807
60000 , 5 , 0.226859
70000 , 5 , 0.306176
80000 , 5 , 0.39813
90000 , 5 , 0.502773
100000 , 5 , 0.61914
10000 , 6 , 0.0077887
20000 , 6 , 0.0231604
30000 , 6 , 0.0495958
40000 , 6 , 0.0872174
50000 , 6 , 0.13446
60000 , 6 , 0.191862
70000 , 6 , 0.25901
80000 , 6 , 0.346593
90000 , 6 , 0.423318
100000 , 6 , 0.537778
10000 , 7 , 0.0056333
20000 , 7 , 0.0247006
30000 , 7 , 0.044484
40000 , 7 , 0.0776599
50000 , 7 , 0.118895
60000 , 7 , 0.180277
70000 , 7 , 0.226363
80000 , 7 , 0.293434
90000 , 7 , 0.367368
100000 , 7 , 0.45222
10000 , 8 , 0.0054379
20000 , 8 , 0.0188442
30000 , 8 , 0.0400348
40000 , 8 , 0.0692958
50000 , 8 , 0.110762
60000 , 8 , 0.149825
70000 , 8 , 0.201399
80000 , 8 , 0.257886
90000 , 8 , 0.325175
100000 , 8 , 0.398813
10000 , 9 , 0.0050555
20000 , 9 , 0.0172371
30000 , 9 , 0.0363383
40000 , 9 , 0.0618286
50000 , 9 , 0.0944257
60000 , 9 , 0.134827
70000 , 9 , 0.18069
80000 , 9 , 0.233576
90000 , 9 , 0.291919
100000 , 9 , 0.359445
10000 , 10 , 0.0049285
20000 , 10 , 0.015957
30000 , 10 , 0.0335757
40000 , 10 , 0.0577536
50000 , 10 , 0.0874997
60000 , 10 , 0.123403
70000 , 10 , 0.165046
80000 , 10 , 0.213848
90000 , 10 , 0.26761
100000 , 10 , 0.327107
10000 , 11 , 0.0051333
20000 , 11 , 0.0157954
30000 , 11 , 0.032311
40000 , 11 , 0.0545383
50000 , 11 , 0.0829487
60000 , 11 , 0.116065
70000 , 11 , 0.163161
80000 , 11 , 0.200931
90000 , 11 , 0.249874
100000 , 11 , 0.303643
10000 , 12 , 0.0054344
20000 , 12 , 0.0153273
30000 , 12 , 0.0309383
40000 , 12 , 0.0514467
50000 , 12 , 0.0779798
60000 , 12 , 0.109404
70000 , 12 , 0.14684
80000 , 12 , 0.186607
90000 , 12 , 0.232106
100000 , 12 , 0.282703
